,,,,,,,,,,,,Col,,,Complex Supreme Mt.,Subcomplex,System,Subsystem,Range,Dominance Parent
1,1,"45°49'57""","06°51'52""",MONT BLANC,4808,4695,97.65,SMA1,7,L,F,near Ozero Kubenskoye (113),"60°42'12""","37°07'46""",MONT BLANC,,,,,EVEREST
,2,"37°45'04""","14°59'45""",MONTE ETNA,3323,3323,100.00,IHP,5,L,I,,,,MONTE ETNA,,,,,
2,3,"37°03'16""","-3°18'36""",PICO DEL MULHACÉN,3479,3285,94.42,SMA1,5,L,E,Col de Naurouze (194),"43°21'04""","01°48'55""",MULHACÉN,,,,,MONT BLANC
3,4,"42°37'56""","00°39'28""",PICO D'ANETO,3404,2812,82.61,SMA2,5,L,E,Puerto de Dima (592),"43°04'41""","-2°40'56""",MULHACÉN,ANETO,,,,MULHACÉN
,5,"42°22'48""","08°56'50""",MONTE CINTO,2706,2706,100.00,IHP,4,L,F,,,,MONTE CINTO,,,,,
4,6,"42°28'12""","13°34'02""",CORNO GRANDE,2912,2474,84.96,SMA2,4,H,I,Colle di Cadibona (436),"44°20'18""","08°20'59""",MONT BLANC,CORNO GRANDE,,,,MONT BLANC
5,7,"42°10'47""","23°35'12""",MUSALA,2925,2473,84.55,SMA2,4,H,BUL,near Preševo (452),"42°17'20""","21°41'45""",MONT BLANC,MUSALA,,,,MONT BLANC
,8,"35°13'36""","24°46'21""",PSILORITIS (TIMIOS STAVROS),2456,2456,100.00,IHP,3,H,GR,,,,PSILORITIS,,,,,
6,9,"47°04'27""","12°41'40""",GROSSGLOCKNER,3798,2428,63.80,SMB1,5,H,A,Brenner (1370),"47°00'12""","11°30'26""",MONT BLANC,,GROSSGLOCKNER,,,MONT BLANC
,10,"36°57'14""","22°21'08""",PROFITIS ILIAS,2407,2407,100.00,IHP,3,H,GR,,,,PROFITIS ILIAS,,,,,
7,11,"61°38'11""","08°18'44""",GALDHØPIGGEN,2469,2372,96.07,SMA1,3,H,N,NW of Poca (97),"62°18'15""","37°46'37""",GALDHØPIGGEN,,,,,EVEREST
8,12,"49°09'51""","20°08'09""",GERLACHOVSKÝ ŠTÍT,2654,2356,88.77,SMA1,4,L,SLK,near Moravská Brána (298),"49°33'22""","17°53'57""",GERLACHOVSKÝ ŠTÍT,,,,,MONT BLANC
9,13,"40°05'08""","22°21'32""",OLYMPOS (MYTIKAS),2919,2355,80.68,SMA2,4,H,GR,near Asproklisia (564),"39°52'34""","21°35'20""",MONT BLANC,OLYMPOS,,,,MONT BLANC
10,14,"46°32'14""","08°07'34""",FINSTERAARHORN,4274,2280,53.35,SMB1,6,H,CH,near Simplon (1994),"46°15'05""","08°01'41""",MONT BLANC,,FINSTERAARHORN,,,MONT BLANC
11,15,"46°53'07""","10°52'02""",WILDSPITZE,3768,2261,60.01,SMB1,5,H,A,Reschenpass (1507),"46°50'04""","10°30'43""",MONT BLANC,,WILDSPITZE,,,MONT BLANC
12,16,"46°22'56""","09°54'29""",PIZ BERNINA,4049,2234,55.17,SMB1,6,L,CH,Maloja (1815),"46°24'08""","09°41'50""",MONT BLANC,,PIZ BERNINA,,,MONT BLANC
13,17,"47°25'13""","13°03'45""",HOCHKÖNIG,2941,2181,74.16,SMA2,4,H,A,near Maishofen (760),"47°21'31""","12°49'05""",MONT BLANC,HOCHKÖNIG,,,,MONT BLANC
14,18,"41°47'28""","20°32'52""",GOLEM KORAB / MAJA E KORABIT,2764,2169,78.47,SMA2,4,L,AL/MA,Godovic (595),"45°57'28""","14°05'31""",MONT BLANC,GOLEM KORAB,,,,MONT BLANC
15,19,"45°56'13""","07°52'01""",MONTE ROSA (DUFOURSPITZE),4634,2165,46.72,SMB2,7,L,CH,St. Bernard (2469),"45°52'09""","07°10'17""",MONT BLANC,,,MONTE ROSA,,MONT BLANC
16,20,"47°28'31""","13°36'23""",HOHER DACHSTEIN,2995,2142,71.52,SMA2,4,H,A,near Eben im Pongau (853 SRTM),"47°24'43""","13°23'41""",MONT BLANC,HOHER DACHSTEIN,,,,MONT BLANC
17,21,"46°26'05""","11°51'03""",MARMOLADA (PUNTA PENIA),3343,2131,63.75,SMB1,5,L,I,near Dobbiaca (1212),"46°43'35""","12°13'29""",MONT BLANC,,MARMOLADA,,,MONT BLANC
18,22,"45°20'28""","23°32'26""",PARÎNGUL MARE,2519,2103,83.49,SMA2,3,H,ROM,near Ocna Sibiului (416),"45°51'40""","24°04'01""",GERLACHOVSKÝ ŠTÍT,MINDRA,,,,GERLACHOVSKÝ ŠTÍT
19,23,"44°40'03""","07°05'27""",MONTE VISO,3841,2062,53.68,SMB1,5,H,I,Le Mauvais Pas (1779),"45°02'39""","06°39'32""",MONT BLANC,,MONTE VISO,,,MONT BLANC
20,24,"46°22'41""","13°50'13""",TRIGLAV,2864,2052,71.65,SMA2,4,L,SLO,Camporosso (812),"46°30'23""","13°31'14""",MONT BLANC,TRIGLAV,,,,MONT BLANC
21,25,"45°36'00""","24°44'16""",MOLDOVEANU,2544,2046,80.42,SMA2,3,H,ROM,near Dukla Pass (498),"49°25'03""","21°41'48""",GERLACHOVSKÝ ŠTÍT,MOLDOVEANU,,,,GERLACHOVSKÝ ŠTÍT
22,26,"44°55'21""","06°21'36""",BARRE DES ÉCRINS,4102,2045,49.85,SMB1,6,L,F,Lautaret (2057),"45°02'06""","06°24'23""",MONT BLANC,,BARRE DES ÉCRINS,,,MONT BLANC
,27,"35°17'33""","24°02'00""",PAKHNES,2453,2038,83.08,SMA2,3,H,GR,,"35°15'15""","24°30'09""",PSILORITIS,PAKHNES,,,,PSILORITIS
23,28,"42°26'31""","19°48'46""",MAJA E JEZERCËS,2694,2036,75.58,SMA2,4,L,AL ,near Trdevac (658),"42°33'16""","20°49'09""",MONT BLANC,JEZERCËS,,,,GOLEM KORAB
24,29,"47°14'58""","09°20'36""",SÄNTIS,2503,2021,80.74,SMA2,3,H,CH,SE of Sargans (482),"47°03'10""","09°25'33""",MONT BLANC,SÄNTIS,,,,MONT BLANC
25,30,"40°09'32""","24°19'42""",ATHOS,2030,2012,99.11,PHP,3,L,GR,near Néa Róda (18),"40°22'20""","23°55'23""",ATHOS,,,,,EVEREST
26,31,"46°30'32""","10°32'41""",ORTLER / ORTLÉS,3905,1953,50.01,SMB1,6,L,I,Passo di Fraele (1952),"46°33'14""","10°15'11""",MONT BLANC,,ORTLER,,,PIZ BERNINA
27,32,"45°43'35""","10°50'38""",MONTE BALDO (CIMA VALDRITTA),2218,1950,87.92,SMA2,3,L,I,South of Passo San Giovanni (268),"45°52'08""","10°54'19""",MONT BLANC,MONTE BALDO,,,,MONT BLANC
28,33,"43°11'53""","-4°51'04""",TORRE DE CERREDO,2648,1931,72.92,SMA2,4,L,E,Minaya Railway (717),"39°14'23""","-2°19'10""",MULHACÉN,TORRE DE CERREDO,,,,MULHACÉN
29,34,"45°31'05""","07°16'02""",GRAN PARADISO,4061,1891,46.56,SMB2,6,L,I,near Petit St. Bernard (2170),"45°40'47""","06°52'49""",MONT BLANC,,,GRAN PARADISO,,MONT BLANC
30,35,"46°04'18""","10°00'41""",PIZZO DI COCA,3050,1878,61.57,SMB1,4,H,I,near Aprica (1172),"46°09'18""","10°09'33""",MONT BLANC,,PIZZO DI COCA,,,MONT BLANC
31,36,"45°59'51""","11°28'05""",CIMA DODICI,2336,1874,80.22,SMA2,3,H,I,SE of Pergine Valsugana (462),"46°03'21""","11°14'04""",MONT BLANC,CIMA DODICI,,,,MONT BLANC
,37,"37°56'23""","22°23'49""",ZIRIA / KYLLINI,2376,1870,78.70,SMA2,3,H,GR,,"37°19'11""","22°12'38""",PROFITIS ILIAS,ZIRIA,,,,PROFITIS ILIAS
32,38,"39°47'49""","22°41'13""",KISSAVOS / OSSA,1978,1854,93.73,SMA2,3,L,GR,,"39°41'22""","22°47'15""",KISSAVOS,,,,,MONT BLANC
,39,"39°59'17""","09°19'27""",LA MARMORA,1834,1834,100.00,IHP,2,H,I,,,,LA MARMORA,,,,,
33,40,"42°05'13""","14°05'15""",MONTE AMARO,2795,1812,64.83,SMB1,4,L,I,Sella di Corno (983),"42°30'37""","13°11'55""",MONT BLANC,CORNO GRANDE,MONTE AMARO,,,CORNO GRANDE
,41,"35°07'08""","25°29'56""",SPATHI / LASITHIOTIKA ,2148,1798,83.71,SMA2,3,L,GR,,"35°09'41""","25°17'31""",PSILORITIS,SPATHI,,,,PSILORITIS
34,42,"46°09'40""","06°55'24""",HAUTE CIME,3257,1796,55.14,SMB1,5,L,CH,Montets (1461),"46°00'13""","06°55'25""",MONT BLANC,,HAUTE CIME,,,MONT BLANC
35,43,"40°07'27""","20°25'58""",NEMERÇKA / DRITA,2484,1794,72.22,SMA2,3,H,AL,,"40°00'00""","20°37'29""",MONT BLANC,NEMERÇKA,,,,GOLEM KORAB
36,44,"41°46'04""","23°24'03""",VIHREN,2914,1783,61.19,SMB1,4,H,BUL,near Predel (1131),"41°52'55""","23°20'59""",MONT BLANC,MUSALA,VIHREN,,,MUSALA
37,45,"40°54'53""","24°05'30""",PANGAION,1956,1773,90.64,SMA1,3,L,GR,,"40°54'23""","24°14'15""",PANGAION,,,,,MONT BLANC
38,46,"45°17'17""","05°47'24""",CHAMECHAUDE,2082,1769,84.97,SMA2,3,L,F,Chambery (313),"45°31'20""","05°58'44""",MONT BLANC,CHAMECHAUDE,,,,MONT BLANC
39,47,"45°21'58""","22°53'40""",PELEAGA,2509,1759,70.11,SMA2,3,H,ROM,Pasul Banita-Merisor (750) ?? 759,"45°27'22""","23°15'34""",GERLACHOVSKÝ ŠTÍT,PELEAGA,,,,MINDRA 
40,48,"67°54'04""","18°31'15""",KEBNEKAISE,2113,1754,83.01,SMA2,3,L,S,East of Tunnsjøen (359),"64°40'02""","13°39'47""",GALDHØPIGGEN,KEBNEKAISE,,,,GALDHØPIGGEN
41,49,"40°55'52""","21°47'21""",KAIMAKTSALAN,2524,1754,69.49,SMA2,3,H,GR/MA,,"40°44'34""","21°38'03""",MONT BLANC,KAIMAKTSALAN,,,,GOLEM KORAB
42,50,"47°25'16""","10°59'07""",ZUGSPITZE,2962,1746,58.95,SMB1,4,H,D/A,Fernpass (1216),"47°21'53""","10°50'23""",MONT BLANC,,ZUGSPITZE,,,MONT BLANC
,51,"38°37'39""","23°50'34""",DHIRFIS,1743,1743,100.00,IHP,2,H,GR,,,,DHIRFIS,,,,,
43,52,"69°28'11""","19°52'52""",JIEHKKEVARRI,1834,1741,94.93,PHP,2,H,N,near Øvergård (93),"69°11'49""","19°45'00""",JIEHKKEVARRI,,,,,GALDHØPIGGEN
44,53,"40°05'21""","20°55'29""",SMOLIKAS,2637,1736,65.83,SMB1,4,L,GR,,"40°33'56""","21°00'03""",MONT BLANC,GOLEM KORAB,SMOLIKAS,,,GOLEM KORAB
45,54,"46°27'09""","12°15'38""",ANTELAO,3263,1734,53.14,SMB1,5,L,I,Cimabanche (1529),"46°37'10""","12°10'58""",MONT BLANC,,ANTELAO,,,MARMOLADA
46,55,"45°40'54""","06°13'42""",POINTE D'ARCALOD,2217,1719,77.54,SMA2,3,L,F,Faverges (498),"45°45'15""","06°17'34""",MONT BLANC,ARCALOD,,,,MONT BLANC
47,56,"39°53'41""","16°13'03""",MONTE DOLCEDORME,2267,1715,75.65,SMA2,3,H,I,,"41°27'20""","14°35'23""",MONT BLANC,DOLCEDORME,,,,CORNO GRANDE
48,57,"38°09'32""","15°55'16""",MONTALTO,1955,1709,87.42,SMA2,3,L,I,,"38°54'47""","16°28'29""",MONT BLANC,MONTALTO,,,,MONT BLANC
49,58,"46°21'25""","14°32'10""",GRINTOVEC,2558,1706,66.69,SMB1,3,H,SLO,Ratece (852),"46°29'43""","13°42'18""",MONT BLANC,TRIGLAV,GRINTOVEC,,,TRIGLAV
50,59,"47°43'01""","14°03'48""",GROSSER PRIEL,2515,1703,67.71,SMB1,3,H,A,near Knoppen (812),"47°33'57""","13°52'55""",MONT BLANC,HOHER DACHSTEIN,GROSSER PRIEL,,,HOHER DACHSTEIN
51,60,"38°38'51""","22°15'16""",GIONA,2510,1702,67.81,SMB1,3,H,GR,,"39°20'30""","21°41'37""",MONT BLANC,GOLEM KORAB,GIONA,,,GOLEM KORAB
52,61,"40°14'51""","-5°17'46""",PLAZA DEL MORO ALMANZOR,2592,1690,65.20,SMB1,4,L,E,Pradillo Verde (902),"42°31'06""","-3°39'23""",MULHACÉN,TORRE DE CERREDO,ALMANZOR,,,TORRE DE CERREDO 
53,62,"45°57'12""","09°23'15""",GRIGNA SETTENTRIONALE,2410,1687,70.00,SMA2,3,H,I,Colle di Bialiso (723),"45°55'18""","09°26'21""",MONT BLANC,GRIGNA,,,,MONT BLANC
54,63,"45°59'17""","11°01'53""",MONTE BONDONE (CORNETTO),2180,1685,77.29,SMA2,3,L,I,East of Vezzano (ca. 495),"46°04'44""","11°01'45""",MONT BLANC,MONTE BONDONE,,,,MONT BLANC
55,64,"46°13'12""","10°39'50""",PRESANELLA,3558,1676,47.11,SMB2,5,H,I,Tonale (1882) ? 1884,"46°15'33""","10°35'04""",MONT BLANC,,PIZ BERNINA,PRESANELLA,,PIZ BERNINA
56,65,"62°19'14""","09°16'18""",SNØHETTA,2286,1675,73.27,SMA2,3,H,N,Lake Lesjaskogsvatnet (611),"62°13'24""","08°24'46""",GALDHØPIGGEN,SNØHETTA,,,,GALDHØPIGGEN
57,66,"40°17'13""","19°51'06""",MAJA E KENDREVICËS,2122,1667,78.56,SMA2,3,L,AL,,"39°47'55""","20°29'50""",MONT BLANC,KENDREVICËS,,,,MONT BLANC
58,67,"47°28'29""","12°44'02""",BIRNHORN,2634,1665,63.21,SMB1,4,L,A,near Hochfilzen (969) ???? 959,"47°27'50""","12°38'03""",MONT BLANC,,BIRNHORN,,,GROSSGLOCKNER
59,68,"41°42'15""","21°24'19""",SOLUNSKA GLAVA,2538,1664,65.56,SMB1,3,H,MA,near Barbara (874) ???? 864,"41°30'12""","21°17'22""",MONT BLANC,GOLEM KORAB,SOLUNSKA GLAVA,,,GOLEM KORAB
60,69,"46°13'39""","12°24'10""",COL NUDO,2472,1645,66.55,SMB1,3,H,I,San Osvaldo (827),"46°17'12""","12°24'40""",MONT BLANC,,COL NUDO,,,MONT BLANC
61,70,"45°57'20""","06°33'22""",POINTE PERCÉE,2753,1643,59.68,SMB1,4,L,F,near Megève (1110) ??,"45°52'17""","06°37'46""",MONT BLANC,,POINTE PERCÉE,,,MONT BLANC
,71,"38°08'14""","20°40'22""",AINOS,1628,1628,100.00,IHP,2,H,GR,,,,AINOS,,,,,
,72,"40°27'42""","25°35'15""",FENGARI,1611,1611,100.00,IHP,2,H,GR,1600 / 1624 ??,,,FENGARI,,,,,
62,73,"46°26'09""","13°26'01""",JOF DI MONTASIO / MONTASCH,2752,1596,57.99,SMB1,4,L,I,Predel (1156),"46°25'06""","13°34'41""",MONT BLANC,TRIGLAV,JOF DI MONTASIO,,,TRIGLAV
63,74,"41°19'18""","23°07'19""",KERKINI / RADOMIR,2031,1595,78.53,SMA2,3,L,GR/BUL,near Kosturino (436),"41°21'03""","22°36'41""",MONT BLANC,KERKINI,,,,MUSALA
64,75,"38°32'09""","22°37'27""",LIAKURA,2457,1590,64.71,SMB1,3,H,GR,near Amvlema (867),"38°37'45""","22°22'36""",MONT BLANC,SMOLIKAS,LIAKURA,,,SMOLIKAS
65,76,"46°53'42""","13°09'29""",POLINIK,2784,1580,56.75,SMB1,4,L,A,Iselsberg (1204),"46°51'12""","12°51'30""",MONT BLANC,,POLINIK,,,GROSSGLOCKNER
66,77,"45°31'42""","02°48'51""",PUY DE SANCY,1885,1578,83.71,SMA2,2,H,F,near Montchanin (307),"46°44'57""","04°29'56""",MONT BLANC,PUY DE SANCY,,,,MONT BLANC
67,78,"44°11'38""","10°42'05""",MONTE CIMONE,2165,1577,72.84,SMA2,3,L,I,,"43°23'50""","12°40'06""",MONT BLANC,MONTE CIMONE,,,,CORNO GRANDE
68,79,"69°42'37""","20°05'26""",STORE LENANGSTIND,1624,1576,97.04,PHP,2,L,N,Lyngseidet (48),"69°34'36""","20°11'18""",STORE LENANGSTIND,,,,,GALDHØPIGGEN
69,80,"42°43'03""","24°55'00""",BOTEV,2380,1571,66.01,SMB1,3,H,BUL,? 2376,"42°38'15""","23°52'06""",MONT BLANC,MUSALA,BOTEV,,,MUSALA
70,81,"46°48'40""","08°54'53""",TÖDI,3614,1570,43.44,SMB2,5,H,CH,Oberalp (2044),"46°39'31""","08°40'21""",MONT BLANC,,FINSTERAARHORN,TÖDI,,FINSTERAARHORN
71,82,"47°24'40""","11°26'16""",BIRKKARSPITZE,2749,1567,57.00,SMB1,4,L,A,Seefeld in Tirol (1182) ? 1180,"47°19'07""","11°11'53""",MONT BLANC,,BIRKKARSPITZE,,,ZUGSPITZE
72,83,"40°11'54""","19°38'31""",MALI I CIKËS,2044,1563,76.47,SMA2,3,L,AL,Shkapa (481),"40°09'18""","19°48'21""",MONT BLANC,CIKËS,,,,GOLEM KORAB
73,84,"47°33'44""","12°18'11""",ELLMAUER HALT,2344,1552,66.21,SMB1,3,H,A,near Ellmau (792),"47°30'56""","12°19'14""",MONT BLANC,,ELLMAUER HALT,,,MONT BLANC
74,85,"44°46'34""","05°50'27""",GRAND TÊTE DE L'OBIOU,2790,1542,55.27,SMB1,4,L,F,Col Bayard (1248),"44°37'04""","06°04'59""",MONT BLANC,,L'OBIOU,,,MONT BLANC
75,86,"44°36'47""","34°14'36""",ROMAN-KOSH,1545,1541,99.74,PHP,2,L,UKR,near Krasnoperekopsk (4) ? 7,"45°56'03""","c.33°49'07"" ",ROMAN-KOSH,,,,,EVEREST
76,87,"40°47'39""","20°27'55""",MAJA E VALAMARES,2373,1526,64.31,SMB1,3,H,AL,,"40°49'30""","20°44'38""",MONT BLANC,GOLEM KORAB,VALAMARES,,,GOLEM KORAB
77,88,"46°09'19""","10°52'14""",CIMA TOSA,3173,1521,47.94,SMB2,4,H,I,S of Campo Carlo Magno (1652),"46°14'34""","10°50'44""",MONT BLANC,,PIZ BERNINA,CIMA TOSA,,PIZ BERNINA
78,89,"47°33'42""","14°37'58""",HOCHTOR,2369,1520,64.16,SMB1,3,H,A,Schoberpass (849),"47°27'06""","14°40'04""",MONT BLANC,,HOCHTOR,,,MONT BLANC
79,90,"67°25'59""","17°43'27""",SAREKTJÅKKÅ,2089,1519,72.71,SMA2,3,L,S,SW of Border kairn 249 (570),"67°49'13""","16°39'05""",GALDHØPIGGEN,SAREKTJAHKKA,,,,KEBNEKAISE
80,91,"47°31'14""","14°01'01""",GRIMMING,2351,1518,64.57,SMB1,3,H,A,near Schrödis (833),"47°33'09""","14°00'47""",MONT BLANC,HOHER DACHSTEIN,GRIMMING,,,GROSSER PRIEL
81,92,"45°56'15""","07°17'57""",GRAND COMBIN,4314,1517,35.16,SMC1,6,H,CH,Durand (2797),"45°54'33""","07°21'21""",MONT BLANC,,,MONTE ROSA,GRAND COMBIN,MONTE ROSA
82,93,"41°00'13""","21°11'12""",PELISTER,2601,1516,58.29,SMB1,4,L,MA,Preseka (1085) ? 1082,"41°26'07""","20°49'28""",MONT BLANC,GOLEM KORAB,PELISTER,,,GOLEM KORAB
83,94,"38°45'32""","20°59'44""",PSILI KORIFI,1589,1514,95.28,SMA1,2,L,GR,,"38°50'50""","21°10'01""",PSILI KORIFI,,,,,MONT BLANC
84,95,"45°49'38""","06°17'11""",LA TOURNETTE,2351,1514,64.40,SMB1,3,H,F,Col du Marais (837),"45°49'32""","06°20'04""",MONT BLANC,,LA TOURNETTE,,,MONT BLANC
85,96,"46°37'17""","09°52'22""",PIZ KESCH,3418,1504,44.00,SMB2,5,L,CH,Lukmanier (1914),"46°33'44""","08°48'11""",MONT BLANC,,FINSTERAARHORN,PIZ KESCH,,FINSTERAARHORN
86,97,"47°03'49""","14°34'02""",ZIRBITZKOGEL,2396,1502,62.69,SMB1,3,H,A,Neumarkter Sattel (894),"47°06'19""","14°22'27""",MONT BLANC,,ZIRBITZKOGEL,,,GROSSGLOCKNER
87,98,"42°53'18""","11°37'29""",MONTE AMIATA,1738,1490,85.73,SMA2,2,H,I,near Arezzo (248),"43°02'31""","11°58'06""",MONT BLANC,MONTE AMIATA,,,,MONT BLANC
88,99,"45°02'23""","05°55'30""",LE TAILLEFER,2857,1490,52.15,SMB1,4,L,F,Col d'Ornon (1367) ? 1371,"45°00'41""","05°58'04""",MONT BLANC,,LE TAILLEFER,,,MONT BLANC
89,100,"46°26'29""","22°41'25""",BIHOR (CUCURBATA MARE),1849,1478,79.94,SMA2,2,H,ROM,,"46°47'29""","24°11'05""",GERLACHOVSKÝ ŠTÍT,CUCURBATA MARE,,,,GERLACHOVSKÝ ŠTÍT
90,101,"43°23'45""","22°40'46""",MIDZOR / MIDZHUR,2168,1478,68.17,SMB1,3,L,SER/BUL,? 2169,"42°51'24""","22°55'02""",MONT BLANC,MUSALA,MIDZOR,,,MUSALA
91,102,"43°07'42""","19°02'12""",DURMITOR (BOBOTOV KUK),2522,1477,58.56,SMB1,3,H,CG,Crkvine (1045) ? 1043,"42°47'59""","19°27'01""",MONT BLANC,JEZERCËS,DURMITOR,,,JEZERCËS
92,103,"46°05'23""","08°23'39""",TOGANO,2301,1474,64.06,SMB1,3,H,I,near Druogno (827) ? 2300,"46°07'59""","08°25'59""",MONT BLANC,,TOGANO,,,MONT BLANC
93,104,"39°26'18""","23°02'51""",PELION (POURIANOS STAVROS),1610,1473,91.49,SMA1,2,L,GR,? 1624 m,"39°23'00""","22°50'59""",PELION,,,,,KISSAVOS
94,105,"36°40'36""","-4°59'41""",TORRECILLA,1919,1472,76.71,SMA2,2,H,E,Los Talancones (447),"37°11'33""","-4°42'59""",MULHACÉN,TORRECILLA,,,,MULHACÉN
95,106,"46°54'00""","09°28'03""",HALDENSTEINER CALANDA,2806,1467,52.28,SMB1,4,L,CH,North of Kunkels Pass (1339 SRTM) ,"46°51'27""","09°24'40""",MONT BLANC,,HALDENSTEINER CALANDA,,,FINSTERAARHORN
96,107,"46°38'36""","08°25'16""",DAMMASTOCK,3630,1465,40.36,SMB2,5,H,CH,Grimsel (2165),"46°33'39""","08°20'31""",MONT BLANC,,FINSTERAARHORN,DAMMASTOCK,,FINSTERAARHORN
97,108,"47°29'57""","13°13'36""",RAUCHECK,2430,1463,60.21,SMB1,3,H,A,"St. Martin (Wimm, 967)","47°28'15""","13°23'01""",MONT BLANC,HOHER DACHSTEIN,RAUCHECK,,,HOHER DACHSTEIN
98,109,"42°49'30""","13°16'36""",MONTE VETTORE,2476,1463,59.09,SMB1,3,H,I,Passo di Torrita (1013),"42°36'27""","13°12'55""",MONT BLANC,CORNO GRANDE,MONTE VETTORE,,,CORNO GRANDE
99,110,"61°48'12""","05°49'29""",GJEGNEN / BLÅNIBBA,1670,1460,87.43,SMA2,2,H,N,near Skei (210),"61°34'20""","06°28'56""",GALDHØPIGGEN,GJEGNEN,,,,GALDHØPIGGEN
100,111,"40°42'26""","20°08'38""",PARTIZANI / MAJA E TOMORIT,2416,1449,59.98,SMB1,3,H,AL,unnamed (ca. 990),"40°33'41""","20°19'00""",MONT BLANC,GOLEM KORAB,PARTIZANI,,,GRÁMOS
